metric,Category,Sub-Category,Name,total,Type
Cost,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",16280.5104,Product
Cost,Furniture,Bookcases,DMI Eclipse Executive Suite Bookcases,10956.4326,Product
Cost,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",6759.382,Product
Cost,Furniture,Bookcases,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",5477.836,Product
Cost,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",5310.522,Product
Cost,Furniture,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,4319.9926,Product
Cost,Furniture,Bookcases,O'Sullivan Living Dimensions 5-Shelf Bookcases,4176.522,Product
Cost,Furniture,Bookcases,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",3834.656,Product
Cost,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,3715.2958,Product
Cost,Furniture,Bookcases,O'Sullivan Plantations 2-Door Library in Landvery Oak,3714.1104,Product
Cost,Furniture,Chairs,HON 5400 Series Task Chairs for Big and Tall,21870.576,Product
Cost,Furniture,Chairs,Global Troy Executive Leather Low-Back Tilter,12023.52,Product
Cost,Furniture,Chairs,SAFCO Arco Folding Chair,10393.406,Product
Cost,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",8710.086,Product
Cost,Furniture,Chairs,GuestStacker Chair with Chrome Finish Legs,8297.6832,Product
Cost,Furniture,Chairs,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,7468.8544,Product
Cost,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,7106.603,Product
Cost,Furniture,Chairs,Global Commerce Series High-Back Swivel/Tilt Chairs,7053.255,Product
Cost,Furniture,Chairs,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,7042.3622,Product
Cost,Furniture,Chairs,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,6749.3808,Product
Cost,Furniture,Furnishings,Tenex Antistatic Computer Chair Mats,3847.05,Product
Cost,Furniture,Furnishings,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,3571.4768,Product
Cost,Furniture,Furnishings,"Tenex Chairmat w/ Average Lip, 45"" x 53""",2588.256,Product
